id,name,constellation,region,originalFactionId,occupierFactionId,victoryPoints,victoryPointsThreshold,contestedPercent,derivedOperationalState,externalGateCount,normalizedBetweenness
30004984,Abune,Jeon,Essence,500004,500001,7183,75000,9.577333,frontline,0,0.244850187
30045340,Aivonen,Ishaga,Black Rise,500001,500001,0,75000,0.0,command,0,0.131469186
30045342,Akidagi,Ishaga,Black Rise,500001,500001,0,75000,0.0,frontline,0,0.146024855
30003854,Alamel,Serthoulde,Placid,500004,500004,37531,75000,50.041333,frontline,0,0.02247191
30003837,Aldranette,Amevync,Placid,500004,500004,17641,75000,23.521333,frontline,0,0.409644195
30003850,Alparena,Serthoulde,Placid,500004,500004,67983,75000,90.644,frontline,1,0.0
30003841,Alsavoinon,Amevync,Placid,500004,500001,5002,75000,6.669333,command,2,0.0
30003840,Anchauttes,Amevync,Placid,500004,500004,29201,75000,38.934667,frontline,0,0.185903984
30003852,Arderonne,Serthoulde,Placid,500004,500001,12,75000,0.016,frontline,0,0.086823289
30045332,Asakai,Kurala,Black Rise,500001,500001,0,75000,0.0,rearguard,0,0.08592952
30045311,Ashitsu,Urpiken,Black Rise,500001,500001,0,75000,0.0,rearguard,0,0.042900919
30003856,Athounon,Serthoulde,Placid,500004,500001,0,75000,0.0,rearguard,1,0.0
30003827,Aubenall,Pegeler,Placid,500004,500004,4150,75000,5.533333,frontline,2,0.010980592
30005298,Costolle,Woenckee,Verge Vendor,500004,500004,0,75000,0.0,rearguard,0,0.065883555
30004985,Deven,Jeon,Essence,500004,500004,0,75000,0.0,command,0,0.034005788
30045319,Eha,Inolari,Black Rise,500001,500001,0,75000,0.0,rearguard,0,0.13381001
30045336,Elunala,Kurala,Black Rise,500001,500001,0,75000,0.0,rearguard,0,0.0
30045339,Enaluri,Ishaga,Black Rise,500001,500001,0,75000,0.0,frontline,0,0.006937351
30002810,Eranakko,Isoma,The Citadel,500001,500004,47620,75000,63.493333,command,0,0.0
30003842,Esesier,Amevync,Placid,500004,500004,6039,75000,8.052,command,0,0.0
30003825,Eugales,Pegeler,Placid,500004,500004,23928,75000,31.904,command,1,0.000383044
30003839,Evaulon,Amevync,Placid,500004,500004,23111,75000,30.814667,command,0,0.201736466
30004980,Fliet,Jeon,Essence,500004,500004,0,75000,0.0,command,1,0.045582227
30003826,Frarie,Pegeler,Placid,500004,500004,16516,75000,22.021333,command,1,0.0
30045341,Hallanen,Ishaga,Black Rise,500001,500001,681,75000,0.908,command,0,0.006256384
30002758,Hasama,Ieyama,The Citadel,500001,500001,0,75000,0.0,rearguard,1,0.0
30002806,Hasmijaala,Isoma,The Citadel,500001,500001,6410,75000,8.546667,frontline,0,0.02247191
30005320,Hevrice,Obray,Verge Vendor,500004,500004,0,75000,0.0,rearguard,1,0.02247191
30004979,Heydieles,Jeon,Essence,500004,500004,2701,75000,3.601333,frontline,2,0.272301668
30045338,Hikkoken,Ishaga,Black Rise,500001,500001,0,75000,0.0,frontline,0,0.505575417
30045345,Hirri,Okakuola,Black Rise,500001,500001,0,75000,0.0,rearguard,0,0.132107593
30045306,Hykanima,Urpiken,Black Rise,500001,500001,0,75000,0.0,rearguard,0,0.022727273
30002796,Hysera,Otawasa,The Citadel,500001,500001,0,75000,0.0,command,2,0.0
30045313,Ienakkamon,Urpiken,Black Rise,500001,500001,0,75000,0.0,rearguard,0,0.000255363
30045337,Ikoskio,Kurala,Black Rise,500001,500001,0,75000,0.0,rearguard,1,0.0
30045343,Immuri,Ishaga,Black Rise,500001,500004,75347,75000,100.462667,frontline,0,0.0
30004982,Indregulle,Jeon,Essence,500004,500004,675,75000,0.9,command,0,0.165474974
30045316,Innia,Inolari,Black Rise,500001,500001,0,75000,0.0,rearguard,0,0.11423221
30045317,Iralaja,Inolari,Black Rise,500001,500001,0,75000,0.0,rearguard,0,0.00293667
30002756,Ishomilken,Ieyama,The Citadel,500001,500001,0,75000,0.0,rearguard,1,0.044433095
30045351,Iwisoda,Okakuola,Black Rise,500001,500001,0,75000,0.0,rearguard,0,0.0
30005321,Jovainnon,Obray,Verge Vendor,500004,500004,0,75000,0.0,rearguard,1,0.0
30045346,Kedama,Okakuola,Black Rise,500001,500001,50,75000,0.066667,command,0,0.213781069
30045308,Kehjari,Urpiken,Black Rise,500001,500001,25,75000,0.033333,rearguard,0,0.146833504
30045314,Kinakka,Inolari,Black Rise,500001,500001,25,75000,0.033333,rearguard,1,0.019279877
30045312,Korasen,Urpiken,Black Rise,500001,500001,0,75000,0.0,rearguard,0,0.0
30004999,Ladistier,Vieres,Essence,500004,500004,0,75000,0.0,rearguard,1,0.02247191
30005300,Loes,Woenckee,Verge Vendor,500004,500004,0,75000,0.0,rearguard,1,0.0
30002760,Manjonakko,Ieyama,The Citadel,500001,500001,0,75000,0.0,rearguard,0,0.086823289
30003855,Mantenault,Serthoulde,Placid,500004,500004,10360,75000,13.813333,command,1,0.0
30045318,Martoh,Inolari,Black Rise,500001,500001,14814,75000,19.752,rearguard,0,0.191777324
30005296,Melmaniel,Woenckee,Verge Vendor,500004,500004,0,75000,0.0,rearguard,0,0.129213483
30003853,Mercomesier,Serthoulde,Placid,500004,500001,0,75000,0.0,command,0,0.02247191
30003828,Moclinamaud,Pegeler,Placid,500004,500004,2605,75000,3.473333,frontline,0,0.032941777
30005299,Muetralle,Woenckee,Verge Vendor,500004,500004,15833,75000,21.110667,rearguard,0,0.044433095
30005295,Murethand,Woenckee,Verge Vendor,500004,500004,0,75000,0.0,rearguard,1,0.146578141
30045334,Mushikegi,Kurala,Black Rise,500001,500001,0,75000,0.0,rearguard,0,0.127170582
